qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q190527,Alaun,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q47154513=Strukturklasse von chemischen Verbindungen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q190878,Aktivkohle,moegliche spezifischere Subklasse,description (en) enthaelt 'process',P279,Q214609,P279,Q619671,process,Q619671=process; Q24489=Kohle; Q5849500=Stoff; Q12332070=Pore
Q190878,Aktivkohle,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q12140=Arzneimittel; Q35456=WHO unentbehrliches Arzneimittel; Q169336=Gemisch; Q736556=Filter; Q902638=pharmazeutischer Hilfsstoff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q1924900,Metallischer Werkstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q11426=metal; Q5849500=Stoff
Q19275827,Schotter,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q3300024=Naturbaustoff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q193841,Cellulosehydrat,moegliche spezifischere Subklasse,description (de) enthaelt 'Biokunststoff',P279,Q214609,P279,Q413458,Biokunststoff,Q413458=Biokunststoff; Q11474=Kunststoff; Q97794245=compo; Q5849500=Stoff
Q19708685,Endbearbeitungsmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q20019601,Druckmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q9208434=Druck
Q20098970,inorganische Materie,moegliche spezifischere Subklasse,name (en) enthaelt 'organic matter',P279,Q214609,P279,Q1783121,organic matter,Q1783121=organic matter; Q5460003=Mater
Q202251,Asphalt,moegliche spezifischere Subklasse,description (en) enthaelt 'petroleum product',P279,Q214609,P279,Q1059843,petroleum product,Q1059843=petroleum product; Q22656=Erdöl; Q8063=rock
Q2033428,mineral material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q97794245=compo; Q36133=soil
Q2033925,Halbmetall,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q11426=metal
Q2033925,Halbmetall,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q806380=Bandstruktur,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q20544752,Rosa Porriño,moegliche spezifischere Subklasse,description (en) enthaelt 'granite',P279,Q214609,P279,Q3115353,granite,Q3115353=granite
Q206615,Baustoff,moegliche spezifischere Subklasse,description (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q5849500=Stoff
Q2083902,Pflanzenasche,moegliche spezifischere Subklasse,description (en) enthaelt 'plant material',P279,Q214609,P279,Q28969364,plant material,Q28969364=plant material; Q16829513=material; Q18537=Biomasse; Q152079=Asche; Q1725382=Masse
Q20918485,growing media,moegliche spezifischere Subklasse,description (en) enthaelt 'substrate',P279,Q214609,P279,Q2362275,substrate,Q2362275=substrate; Q436625=substrate; Q8334343=substrate; Q2096056=substrate; Q2578270=substrate
Q2095,Nahrung,moegliche spezifischere Subklasse,description (en) enthaelt 'support',P279,Q214609,P279,Q33123524,support,Q33123524=support; Q5849500=Stoff
Q2108973,Pressspan,moegliche spezifischere Subklasse,description (de) enthaelt 'Zellstoff',P279,Q214609,P279,Q189109,Zellstoff,Q189109=Zellstoff; Q16829513=material; Q5460003=Mater; Q5849500=Stoff; Q128698437=Span
Q2118097,Pulverlöschanlage,moegliche spezifischere Subklasse,name (de) enthaelt 'Pulver',P279,Q214609,P279,Q2908004,Pulver,Q2908004=Pulver
Q212254,Kompost,moegliche spezifischere Subklasse,description (en) enthaelt 'scrap',P279,Q214609,P279,Q1378670,scrap,Q1378670=scrap; Q97794245=compo; Q2095=food; Q36133=soil
Q215414,Schaum,moegliche spezifischere Subklasse,description (en) enthaelt 'tain',P279,Q214609,P279,Q3514037,tain,Q3514037=tain
Q2234662,Schienenbefestigungen,moegliche spezifischere Subklasse,description (en) enthaelt 'compo',P279,Q214609,P279,Q97794245,compo,Q97794245=compo; Q231250=lace
Q225666,Zirkonia,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q22731=Stein; Q3757650=Stein
Q22731,Stein,moegliche spezifischere Subklasse,description (en) enthaelt 'building material',P279,Q214609,P279,Q206615,building material,Q206615=building material; Q16829513=material; Q8063=Gestein; Q3757650=Stein
Q2325585,Stabsperrholz,moegliche spezifischere Subklasse,description (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q3827429=Platte; Q97794245=compo; Q5849500=Stoff; Q287=Holz
Q2343427,color-changing material,moegliche spezifischere Subklasse,name (en) enthaelt 'changing mat',P279,Q214609,P279,Q2392679,changing mat,Q2392679=changing mat; Q16829513=material
Q2352600,Lebensmittelkontaktmaterialien,moegliche spezifischere Subklasse,name (de) enthaelt 'Lebensmittel',P279,Q214609,P279,Q8195619,Lebensmittel,Q8195619=Lebensmittel; Q16829513=material; Q5460003=Mater; Q2095=food
Q2362275,Substrat,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q619671=process; Q5460003=Mater
Q2409019,brütbares Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q468402=tile; Q3748266=tile
Q2409019,brütbares Material,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q108149=Nuklid,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q24503377,Gittergewebe,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q40397=Gewebe; Q1314278=Gewebe; Q11426=metal; Q468402=tile
Q2451477,natürliches Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q24568869,Wärmeleitmedium,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q97794245=compo
Q251473,Folie,moegliche spezifischere Subklasse,description (en) enthaelt 'sheet metal',P279,Q214609,P279,Q1884039,sheet metal,Q1884039=sheet metal; Q211367=sheet metal; Q11474=Kunststoff; Q11426=metal; Q105821963=Sheet
Q25481880,paramagnetic material,moegliche spezifischere Subklasse,name (en) enthaelt 'magnetic material',P279,Q214609,P279,Q949573,magnetic material,Q949573=magnetic material; Q16829513=material; Q11421=magnet; Q635343=rope
Q25509247,Referenzmaterial,moegliche spezifischere Subklasse,description (de) enthaelt 'Sicherung',P279,Q214609,P279,Q182221,Sicherung,Q182221=Sicherung; Q16829513=material; Q5460003=Mater; Q5849500=Stoff
Q25530610,diamagnetic material,moegliche spezifischere Subklasse,name (en) enthaelt 'magnetic material',P279,Q214609,P279,Q949573,magnetic material,Q949573=magnetic material; Q16829513=material; Q11421=magnet
Q2594492,Half-metal,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q11426=metal
Q26520,Hochbeet,moegliche spezifischere Subklasse,description (en) enthaelt 'soil',P279,Q214609,P279,Q36133,soil,Q36133=soil
Q26520,Hochbeet,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q268592=Industrie,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q266564,Filterkuchen,moegliche spezifischere Subklasse,name (de) enthaelt 'Kuchen',P279,Q214609,P279,Q10754476,Kuchen,Q10754476=Kuchen; Q5849500=Stoff
Q26717101,Leiter,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q60848614=Teilchen; Q6059387=Teilchen; Q5849500=Stoff
Q26828324,Lockstoff,moegliche spezifischere Subklasse,name (de) enthaelt 'Stoff',P279,Q214609,P279,Q5849500,Stoff,Q5849500=Stoff
Q26828324,Lockstoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q378078=Substanz,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q271768,Schlacke,moegliche spezifischere Subklasse,description (en) enthaelt 'glass',P279,Q214609,P279,Q11469,glass,Q11469=glass; Q11426=metal; Q11236878=Lack
Q2719350,ceramic material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q45621=ceramic
Q273131,Räucherwerk,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5849500=Stoff
Q27891524,absorbent,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q4428995=sorbent
Q2794488,Polsterung,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q50998618=Feder; Q5460003=Mater; Q81025=Feder
Q2794488,Polsterung,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q28823=Textilie,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q282695,Anguss,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q28823,Textilie,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5849500=Stoff; Q468402=tile; Q3748266=tile
Q28942423,Isoliermaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q289472,Biogen,moegliche spezifischere Subklasse,description (en) enthaelt 'secretion',P279,Q214609,P279,Q12334861,secretion,Q12334861=secretion; Q619671=process; Q6544682=Life
Q289472,Biogen,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q17339814=Stoffgruppe; Q104007623=anatomische Entitätsklasse; Q112826905=Klasse anatomischer Entitäten,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q29560509,Schuhstopper,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q18113858=rubber
Q296859,Ölbinder,moegliche spezifischere Subklasse,name (en) enthaelt 'absorbent',P279,Q214609,P279,Q27891524,absorbent,Q27891524=absorbent; Q4428995=sorbent; Q235693=Binde
Q2997790,fatty substance,moegliche spezifischere Subklasse,description (en) enthaelt 'lime',P279,Q214609,P279,Q250423,lime,Q250423=lime
Q3040056,Dentalmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q136764162=fabric; Q5460003=Mater; Q100274207=Zahn
Q30673259,Quantenmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q635343=rope
Q311935,Kunstrasen,moegliche spezifischere Subklasse,description (en) enthaelt 'synthetic fiber',P279,Q214609,P279,Q5856,synthetic fiber,Q5856=synthetic fiber
Q31842778,Drahtgewebe,moegliche spezifischere Subklasse,name (de) enthaelt 'Gewebe',P279,Q214609,P279,Q40397,Gewebe,Q40397=Gewebe; Q1314278=Gewebe; Q551997=Draht; Q11426=metal; Q24503377=mesh
Q3271208,porous medium,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q117316442=medium; Q3514037=tain; Q12332070=Pore
Q3300022,synthetisches Material,moegliche spezifischere Subklasse,description (en) enthaelt 'man-made material',P279,Q214609,P279,Q125272422,man-made material,Q125272422=man-made material; Q2451477=natural material; Q16829513=material; Q619671=process; Q5460003=Mater
Q3327760,Beschreibstoff,moegliche spezifischere Subklasse,description (de) enthaelt 'Mater',P279,Q214609,P279,Q5460003,Mater,Q5460003=Mater; Q5849500=Stoff
Q3328263,Pflaster,moegliche spezifischere Subklasse,description (de) enthaelt 'Stein',P279,Q214609,P279,Q22731,Stein,Q22731=Stein; Q36133=Boden; Q22657=Beton; Q3757650=Stein; Q468402=tile
Q3332002,Schlacke,moegliche spezifischere Subklasse,description (en) enthaelt 'process',P279,Q214609,P279,Q619671,process,Q619671=process; Q152079=Asche; Q45701=waste; Q11236878=Lack
Q33526,Stuck,moegliche spezifischere Subklasse,description (en) enthaelt 'aggregate',P279,Q214609,P279,Q866298,aggregate,Q866298=aggregate; Q16829513=material; Q189566=Mörtel
Q3451297,archival material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q34669510,Formmasse,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q1725382=Masse
Q3604148,sparking flint,moegliche spezifischere Subklasse,name (en) enthaelt 'spark',P279,Q214609,P279,Q911679,spark,Q911679=spark; Q5919399=KING; Q10815621=lint
Q372301,Schleifmittel,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q5849500=Stoff; Q128698437=Span; Q1225294=Span
Q37328283,Rezyklat,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q37328535,recyceltes Material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q37328535,recyceltes Material,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q137424905=type of material,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q376724,Bandage,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q12105882=dressing; Q33123524=support; Q523536=Verband; Q5460003=Mater
Q379503,retroreflective sheeting,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q105821963=Sheet
Q3851760,linear elastic material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q10651359=elastic
Q389782,Karton,moegliche spezifischere Subklasse,description (de) enthaelt 'Holzschliff',P279,Q214609,P279,Q19703279,Holzschliff,Q19703279=Holzschliff; Q16829513=Werkstoff; Q444632=Altpapier; Q189109=Zellstoff; Q5849500=Stoff
Q3913535,Matrixisolation,moegliche spezifischere Subklasse,name (en) enthaelt 'matrix',P279,Q214609,P279,Q112166866,matrix,Q112166866=matrix; Q3299231=matrix; Q1060013=matrix; Q1463013=Matrix
Q39365114,dichroic material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q107105674=mount; Q664571=fuse; Q2793166=Amou; Q182221=fuse
Q413068,Polyisocyanurate,moegliche spezifischere Subklasse,description (de) enthaelt 'Polymer',P279,Q214609,P279,Q81163,Polymer,Q81163=Polymer; Q11474=plastic
Q4146210,"petroleum, oils and lubricants",moegliche spezifischere Subklasse,name (en) enthaelt 'petroleum',P279,Q214609,P279,Q22656,petroleum,Q22656=petroleum
Q43557297,Albuminpapier,moegliche spezifischere Subklasse,description (en) enthaelt 'printing material',P279,Q214609,P279,Q20019601,printing material,Q20019601=printing material; Q16829513=material
Q436625,Bedruckstoff,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q1570182=coating; Q619671=process; Q5460003=Mater; Q5849500=Stoff
Q4370255,Q4370255,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q66157003=Packmaterial,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q4428995,sorbent,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q4428995,sorbent,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q100434640=class of chemical substances by use,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q45621,Keramik,moegliche spezifischere Subklasse,description (en) enthaelt 'metal',P279,Q214609,P279,Q11426,metal,Q11426=metal; Q5849500=Stoff
Q45621,Keramik,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q483394=Genre; Q129133491=ethnologischer Fachbegriff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q45701,Abfall,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q466714,Moderator,moegliche spezifischere Subklasse,description (en) enthaelt 'beryllium',P279,Q214609,P279,Q569,beryllium,Q569=beryllium; Q5309=graphite; Q117316442=medium; Q2733470=stain; Q3514037=tain
Q466714,Moderator,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q151885=Begriff,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q46976206,surface preparation material,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q4914589,ekomaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q497166,Metamaterial,moegliche spezifischere Subklasse,description (de) enthaelt 'Elektromagnet',P279,Q214609,P279,Q178032,Elektromagnet,Q178032=Elektromagnet; Q16829513=material; Q11421=Magnet; Q5460003=Mater; Q635343=rope
Q5025838,Bleirute,moegliche spezifischere Subklasse,description (de) enthaelt 'Bleiglasfenster',P279,Q214609,P279,Q488094,Bleiglasfenster,Q488094=Bleiglasfenster; Q392551=Bleiglas; Q35473=Fenster; Q1348059=panel; Q106857709=panel
Q50379874,biomedical and dental material,moegliche spezifischere Subklasse,name (en) enthaelt 'dental material',P279,Q214609,P279,Q3040056,dental material,Q3040056=dental material; Q16829513=material; Q635343=rope
Q50379874,biomedical and dental material,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q100434640=class of chemical substances by use,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q5054339,Cauchy-Elastizität,moegliche spezifischere Subklasse,name (de) enthaelt 'Elastizität',P279,Q214609,P279,Q62932,Elastizität,Q62932=Elastizität; Q10651358=Elastizität; Q16829513=material; Q10651359=elastic
Q50998618,Feder,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q5135573,Kleidungsmaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q5849500=cloth; Q1503599=Klei
Q52684119,plaster,moegliche spezifischere Subklasse,description (en) enthaelt 'mortar',P279,Q214609,P279,Q189566,mortar,Q189566=mortar; Q126777=pasty
Q5309,Graphit,moegliche spezifischere Subklasse,description (de) enthaelt 'Kohle',P279,Q214609,P279,Q24489,Kohle,Q24489=Kohle; Q5849500=Stoff; Q140101=Ikat; Q635343=rope
Q5309,Graphit,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q12089225=Mineralart,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q5327163,Earth materials,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q3820332=earth
Q5327163,Earth materials,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q1293220=physikalisches Phänomen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q5376832,energetischer Stoff,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater; Q5849500=Stoff; Q107105674=mount; Q2793166=Amou
Q5376832,energetischer Stoff,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q56256173=Klasse von chemischen Verbindungen mit ähnlichen Anwendungen oder Funktionen,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q5428682,Faktis,moegliche spezifischere Subklasse,description (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q5849500=Stoff; Q13211745=Gummi
