qid,label,problem,evidence,current_property,current_value,suggested_property,suggested_value,suggested_value_label,alle_kandidaten
Q908279,Trennmittel,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q15303351=Künstlerbedarf; Q100434640=class of chemical substances by use,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q910229,Molekularsieb,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5849500=Stoff; Q12332070=Pore
Q910990,Szintillator,moegliche spezifischere Subklasse,description (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material
Q911679,Funke,moegliche spezifischere Subklasse,description (de) enthaelt 'Teilchen',P279,Q214609,P279,Q60848614,Teilchen,Q60848614=Teilchen; Q6059387=Teilchen
Q911922,Farbmittel,moegliche spezifischere Subklasse,description (de) enthaelt 'Stoff',P279,Q214609,P279,Q5849500,Stoff,Q5849500=Stoff
Q9259184,ferromagnetic material,moegliche spezifischere Subklasse,name (en) enthaelt 'magnetic material',P279,Q214609,P279,Q949573,magnetic material,Q949573=magnetic material; Q16829513=material; Q11421=magnet
Q949573,Magnetwerkstoffe,moegliche spezifischere Subklasse,name (de) enthaelt 'Werkstoff',P279,Q214609,P279,Q16829513,Werkstoff,Q16829513=Werkstoff; Q11421=Magnet; Q5849500=Stoff
Q967847,Nanomaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
Q9698,abgereichertes Uran,moegliche spezifischere Subklasse,description (de) enthaelt 'Kern',P279,Q214609,P279,Q3121375,Kern,Q3121375=Kern
Q97648592,nickel laterite ore,moegliche spezifischere Subklasse,name (en) enthaelt 'nickel',P279,Q214609,P279,Q744,nickel,Q744=nickel; Q36133=soil; Q8063=rock
Q979014,Narrabaum,hat P31 (instance of) -> vermutlich physisches Objekt,instance of: Q16521=Taxon,P279,Q214609,P186 (manuell Zielmaterial waehlen!),,,
Q98108610,Formgedächtnismaterial,moegliche spezifischere Subklasse,name (en) enthaelt 'material',P279,Q214609,P279,Q16829513,material,Q16829513=material; Q5460003=Mater
